time,demand,year,month
2012-1-1,21,2012,ENE
2012-1-2,9,2012,ENE
2012-1-3,15,2012,ENE
2012-1-4,18,2012,ENE
2012-1-5,6,2012,ENE
2012-1-6,9,2012,ENE
2012-1-7,6,2012,ENE
2012-1-8,15,2012,ENE
2012-1-9,6,2012,ENE
2012-1-10,15,2012,ENE
2012-1-11,15,2012,ENE
2012-1-12,6,2012,ENE
2012-1-13,27,2012,ENE
2012-1-14,9,2012,ENE
2012-1-15,6,2012,ENE
2012-1-16,3,2012,ENE
2012-1-17,15,2012,ENE
2012-1-18,9,2012,ENE
2012-1-19,21,2012,ENE
2012-1-20,24,2012,ENE
2012-1-21,18,2012,ENE
2012-1-22,15,2012,ENE
2012-1-23,3,2012,ENE
2012-1-24,24,2012,ENE
2012-1-25,6,2012,ENE
2012-1-26,24,2012,ENE
2012-1-27,21,2012,ENE
2012-1-28,30,2012,ENE
2012-1-29,6,2012,ENE
2012-1-30,6,2012,ENE
2012-1-31,9,2012,ENE
2012-2-1,6,2012,FEB
2012-2-2,6,2012,FEB
2012-2-3,3,2012,FEB
2012-2-4,3,2012,FEB
2012-2-5,45,2012,FEB
2012-2-6,6,2012,FEB
2012-2-7,9,2012,FEB
2012-2-8,3,2012,FEB
2012-2-9,21,2012,FEB
2012-2-10,6,2012,FEB
2012-2-11,48,2012,FEB
2012-2-12,3,2012,FEB
2012-2-13,48,2012,FEB
2012-2-14,9,2012,FEB
2012-2-15,6,2012,FEB
2012-2-16,3,2012,FEB
2012-2-17,9,2012,FEB
2012-2-18,6,2012,FEB
2012-2-19,3,2012,FEB
2012-2-20,39,2012,FEB
2012-2-21,6,2012,FEB
2012-2-22,9,2012,FEB
2012-2-23,3,2012,FEB
2012-2-24,57,2012,FEB
2012-2-25,9,2012,FEB
2012-2-26,6,2012,FEB
2012-2-27,9,2012,FEB
2012-2-28,18,2012,FEB
2012-3-1,27,2012,MAR
2012-3-2,21,2012,MAR
2012-3-3,15,2012,MAR
2012-3-4,6,2012,MAR
2012-3-5,21,2012,MAR
2012-3-6,36,2012,MAR
2012-3-7,3,2012,MAR
2012-3-8,6,2012,MAR
2012-3-9,9,2012,MAR
2012-3-10,6,2012,MAR
2012-3-11,21,2012,MAR
2012-3-12,15,2012,MAR
2012-3-13,9,2012,MAR
2012-3-14,12,2012,MAR
2012-3-15,24,2012,MAR
2012-3-16,12,2012,MAR
2012-3-17,27,2012,MAR
2012-3-18,24,2012,MAR
2012-3-19,12,2012,MAR
2012-3-20,27,2012,MAR
2012-3-21,3,2012,MAR
2012-3-22,9,2012,MAR
2012-3-23,3,2012,MAR
2012-3-24,6,2012,MAR
2012-3-25,42,2012,MAR
2012-3-26,9,2012,MAR
2012-3-27,9,2012,MAR
2012-3-28,6,2012,MAR
2012-3-29,6,2012,MAR
2012-3-30,3,2012,MAR
2012-3-31,6,2012,MAR
2012-4-1,9,2012,ABR
2012-4-2,6,2012,ABR
2012-4-3,15,2012,ABR
2012-4-4,9,2012,ABR
2012-4-5,12,2012,ABR
2012-4-6,18,2012,ABR
2012-4-7,6,2012,ABR
2012-4-8,3,2012,ABR
2012-4-9,3,2012,ABR
2012-4-10,9,2012,ABR
2012-4-11,24,2012,ABR
2012-4-12,3,2012,ABR
2012-4-13,15,2012,ABR
2012-4-14,12,2012,ABR
2012-4-15,18,2012,ABR
2012-4-16,6,2012,ABR
2012-4-17,30,2012,ABR
2012-4-18,3,2012,ABR
2012-4-19,3,2012,ABR
2012-4-20,6,2012,ABR
2012-4-21,3,2012,ABR
2012-4-22,6,2012,ABR
2012-4-23,3,2012,ABR
2012-4-24,9,2012,ABR
2012-4-25,9,2012,ABR
2012-4-26,15,2012,ABR
2012-4-27,9,2012,ABR
2012-4-28,6,2012,ABR
2012-4-29,3,2012,ABR
2012-4-30,6,2012,ABR
2012-5-1,9,2012,MAY
2012-5-2,9,2012,MAY
2012-5-3,6,2012,MAY
2012-5-4,12,2012,MAY
2012-5-5,15,2012,MAY
2012-5-6,3,2012,MAY
2012-5-7,21,2012,MAY
2012-5-8,9,2012,MAY
2012-5-9,6,2012,MAY
2012-5-10,12,2012,MAY
2012-5-11,6,2012,MAY
2012-5-12,12,2012,MAY
2012-5-13,18,2012,MAY
2012-5-14,9,2012,MAY
2012-5-15,30,2012,MAY
2012-5-16,6,2012,MAY
2012-5-17,6,2012,MAY
2012-5-18,21,2012,MAY
2012-5-19,15,2012,MAY
2012-5-20,9,2012,MAY
2012-5-21,6,2012,MAY
2012-5-22,9,2012,MAY
2012-5-23,15,2012,MAY
2012-5-24,12,2012,MAY
2012-5-25,21,2012,MAY
2012-5-26,6,2012,MAY
2012-5-27,9,2012,MAY
2012-5-28,9,2012,MAY
2012-5-29,3,2012,MAY
2012-5-30,9,2012,MAY
2012-5-31,9,2012,MAY
2012-6-1,9,2012,JUN
2012-6-2,3,2012,JUN
2012-6-3,36,2012,JUN
2012-6-4,9,2012,JUN
2012-6-5,3,2012,JUN
2012-6-6,9,2012,JUN
2012-6-7,6,2012,JUN
2012-6-8,3,2012,JUN
2012-6-9,12,2012,JUN
2012-6-10,9,2012,JUN
2012-6-11,18,2012,JUN
2012-6-12,6,2012,JUN
2012-6-13,15,2012,JUN
2012-6-14,3,2012,JUN
2012-6-15,6,2012,JUN
2012-6-16,12,2012,JUN
2012-6-17,9,2012,JUN
2012-6-18,18,2012,JUN
2012-6-19,12,2012,JUN
2012-6-20,6,2012,JUN
2012-6-21,21,2012,JUN
2012-6-22,15,2012,JUN
2012-6-23,15,2012,JUN
2012-6-24,3,2012,JUN
2012-6-25,12,2012,JUN
2012-6-26,3,2012,JUN
2012-6-27,12,2012,JUN
2012-6-28,6,2012,JUN
2012-6-29,9,2012,JUN
2012-6-30,12,2012,JUN
2012-7-1,15,2012,JUL
2012-7-2,6,2012,JUL
2012-7-3,3,2012,JUL
2012-7-4,6,2012,JUL
2012-7-5,9,2012,JUL
2012-7-6,27,2012,JUL
2012-7-7,9,2012,JUL
2012-7-8,6,2012,JUL
2012-7-9,3,2012,JUL
2012-7-10,6,2012,JUL
2012-7-11,12,2012,JUL
2012-7-12,6,2012,JUL
2012-7-13,15,2012,JUL
2012-7-14,33,2012,JUL
2012-7-15,6,2012,JUL
2012-7-16,6,2012,JUL
2012-7-17,6,2012,JUL
2012-7-18,3,2012,JUL
2012-7-19,6,2012,JUL
2012-7-20,12,2012,JUL
2012-7-21,9,2012,JUL
2012-7-22,3,2012,JUL
2012-7-23,15,2012,JUL
2012-7-24,18,2012,JUL
2012-7-25,6,2012,JUL
2012-7-26,3,2012,JUL
2012-7-27,9,2012,JUL
2012-7-28,3,2012,JUL
2012-7-29,15,2012,JUL
2012-7-30,6,2012,JUL
2012-7-31,3,2012,JUL
2012-8-1,6,2012,AGO
2012-8-2,9,2012,AGO
2012-8-3,3,2012,AGO
2012-8-4,27,2012,AGO
2012-8-5,6,2012,AGO
2012-8-6,12,2012,AGO
2012-8-7,3,2012,AGO
2012-8-8,6,2012,AGO
2012-8-9,36,2012,AGO
2012-8-10,3,2012,AGO
2012-8-11,3,2012,AGO
2012-8-12,6,2012,AGO
2012-8-13,3,2012,AGO
2012-8-14,12,2012,AGO
2012-8-15,15,2012,AGO
2012-8-16,6,2012,AGO
2012-8-17,21,2012,AGO
2012-8-18,3,2012,AGO
2012-8-19,6,2012,AGO
2012-8-20,30,2012,AGO
2012-8-21,3,2012,AGO
2012-8-22,15,2012,AGO
2012-8-23,3,2012,AGO
2012-8-24,6,2012,AGO
2012-8-25,21,2012,AGO
2012-8-26,9,2012,AGO
2012-8-27,3,2012,AGO
2012-8-28,12,2012,AGO
2012-8-29,3,2012,AGO
2012-8-30,6,2012,AGO
2012-8-31,9,2012,AGO
2012-9-1,3,2012,SEPT
2012-9-2,3,2012,SEPT
2012-9-3,12,2012,SEPT
2012-9-4,3,2012,SEPT
