time,#guests
2012-01-01,22
2012-01-08,37
2012-01-15,38
2012-01-22,24
2012-02-01,41
2012-02-08,22
2012-02-15,38
2012-02-22,24
2012-03-01,22
2012-03-08,19
2012-03-15,32
2012-03-22,18
2012-04-01,12
2012-04-08,10
2012-04-15,14
2012-04-22,10
2012-05-01,31
2012-05-08,22
2012-05-15,21
2012-05-22,25
2012-06-01,20
2012-06-08,36
2012-06-15,31
2012-06-22,18
2012-07-01,31
2012-07-08,18
2012-07-15,20
2012-07-22,20
2012-08-01,24
2012-08-08,29
2012-08-15,26
2012-08-22,18
2012-09-01,32
2012-09-08,19
2012-09-15,28
2012-09-22,23
2012-10-01,22
2012-10-08,38
2012-10-15,31
2012-10-22,31
2012-11-01,32
2012-11-08,28
2012-11-15,25
2012-11-22,21
2012-12-01,20
2012-12-08,24
2012-12-15,19
2012-12-22,25
2013-01-01,28
2013-01-08,34
2013-01-15,41
2013-01-22,24
2013-02-01,32
2013-02-08,29
2013-02-15,26
2013-02-22,18
2013-03-01,21
2013-03-08,36
2013-03-15,32
2013-03-22,19
2013-04-01,20
2013-04-08,31
2013-04-15,25
2013-04-22,27
2013-05-01,27
2013-05-08,26
2013-05-15,19
2013-05-22,15
2013-06-01,17
2013-06-08,28
2013-06-15,21
2013-06-22,25
2013-07-01,24
2013-07-08,26
2013-07-15,18
2013-07-22,25
2013-08-01,22
2013-08-08,18
2013-08-15,25
2013-08-22,14
2013-09-01,30
2013-09-08,23
2013-09-15,32
2013-09-22,31
2013-10-01,18
2013-10-08,26
2013-10-15,31
2013-10-22,24
2013-11-01,24
2013-11-08,39
2013-11-15,28
2013-11-22,37
2013-12-01,19
2013-12-08,26
2013-12-15,16
2013-12-22,21
2014-01-01,40
2014-01-08,47
2014-01-15,38
2014-01-22,39
2014-02-01,28
2014-02-08,38
2014-02-15,22
2014-02-22,28
2014-03-01,29
2014-03-08,20
2014-03-15,26
2014-03-22,14
2014-04-01,20
2014-04-08,19
2014-04-15,24
2014-04-22,16
2014-05-01,25
2014-05-08,21
2014-05-15,34
2014-05-22,20
2014-06-01,21
2014-06-08,22
2014-06-15,19
2014-06-22,24
2014-07-01,19
2014-07-08,22
2014-07-15,28
2014-07-22,25
2014-08-01,30
2014-08-08,15
2014-08-15,23
2014-08-22,19
2014-09-01,19
2014-09-08,23
2014-09-15,27
2014-09-22,24
2014-10-01,39
2014-10-08,27
2014-10-15,34
2014-10-22,36
2014-11-01,31
2014-11-08,29
2014-11-15,39
2014-11-22,32
2014-12-01,30
2014-12-08,24
2014-12-15,22
2014-12-22,20
2015-01-01,28
2015-01-08,26
2015-01-15,31
2015-01-22,27
2015-02-01,29
2015-02-08,27
2015-02-15,36
2015-02-22,33
2015-03-01,21
2015-03-08,28
2015-03-15,24
2015-03-22,19
2015-04-01,24
2015-04-08,18
2015-04-15,21
2015-04-22,19
2015-05-01,17
2015-05-08,23
2015-05-15,18
2015-05-22,21
2015-06-01,24
2015-06-08,27
2015-06-15,22
2015-06-22,26
2015-07-01,27
2015-07-08,18
2015-07-15,19
2015-07-22,23
2015-08-01,18
2015-08-08,20
2015-08-15,21
2015-08-22,22
2015-09-01,24
2015-09-08,27
2015-09-15,29
2015-09-22,13
2015-10-01,27
2015-10-08,38
2015-10-15,26
2015-10-22,24
2015-11-01,23
2015-11-08,33
2015-11-15,35
2015-11-22,53
2015-12-01,31
2015-12-08,19
2015-12-15,17
2015-12-22,31
2016-01-01,32
2016-01-08,27
2016-01-15,13
2016-01-22,22
2016-02-01,27
2016-02-08,48
2016-02-15,27
2016-02-22,20
2016-03-01,32
2016-03-08,8
2016-03-15,7
2016-03-22,5
2016-04-01,37
2016-04-08,36
2016-04-15,22
2016-04-22,25
2016-05-01,17
2016-05-08,25
2016-05-15,14
2016-05-22,36
2016-06-01,22
2016-06-08,16
2016-06-15,21
2016-06-22,30
2016-07-01,47
2016-07-08,22
2016-07-15,21
2016-07-22,24
2016-08-01,31
2016-08-08,29
2016-08-15,24
2016-08-22,25
2016-09-01,27
2016-09-08,31
2016-09-15,27
2016-09-22,49
2016-10-01,24
2016-10-08,20
2016-10-15,29
2016-10-22,56
2016-11-01,44
2016-11-08,29
2016-11-15,41
2016-11-22,52
2016-12-01,24
2016-12-08,28
2016-12-15,26
2016-12-22,24
2017-01-01,35
2017-01-08,36
2017-01-15,36
2017-01-22,67
2017-02-01,27
2017-02-08,43
2017-02-15,34
2017-02-22,19
2017-03-01,24
2017-03-08,30
2017-03-15,7
2017-03-22,16
2017-04-01,12
2017-04-08,17
2017-04-15,14
2017-04-22,18
2017-05-01,25
2017-05-08,30
2017-05-15,29
2017-05-22,28
2017-06-01,54
2017-06-08,23
2017-06-15,23
2017-06-22,36
2017-07-01,37
2017-07-08,28
2017-07-15,18
2017-07-22,25
2017-08-01,21
2017-08-08,31
2017-08-15,18
2017-08-22,30
2017-09-01,54
2017-09-08,18
2017-09-15,33
2017-09-22,40
2017-10-01,41
2017-10-08,61
2017-10-15,41
2017-10-22,48
2017-11-01,43
2017-11-08,29
2017-11-15,35
2017-11-22,29
2017-12-01,38
2017-12-08,20
2017-12-15,22
2017-12-22,30
2018-01-01,29
2018-01-08,31
2018-01-15,42
2018-01-22,48
2018-02-01,42
2018-02-08,48
2018-02-15,22
2018-02-22,37
2018-03-01,30
2018-03-08,42
2018-03-15,36
2018-03-22,35
2018-04-01,38
2018-04-08,31
2018-04-15,27
2018-04-22,29
2018-05-01,17
2018-05-08,19
2018-05-15,30
2018-05-22,37
2018-06-01,36
2018-06-08,19
2018-06-15,29
2018-06-22,33
2018-07-01,19
2018-07-08,23
2018-07-15,26
2018-07-22,29
2018-08-01,21
2018-08-08,32
2018-08-15,23
2018-08-22,26
2018-09-01,49
2018-09-08,26
2018-09-15,38
2018-09-22,35
2018-10-01,39
2018-10-08,55
2018-10-15,45
2018-10-22,48
2018-11-01,38
2018-11-08,34
2018-11-15,35
2018-11-22,29
2018-12-01,38
2018-12-08,20
2018-12-15,22
2018-12-22,30
2019-01-01,30
2019-01-08,21
2019-01-15,27
2019-01-22,26
2019-02-01,29
2019-02-08,44
2019-02-15,31
2019-02-22,37
2019-03-01,41
2019-03-08,41
2019-03-15,50
2019-03-22,52
2019-04-01,42
